id_producto,unidades_estimadas,nombre_producto,stock_minimo,stock_recomendado,alerta_quiebre
P0056,484.3,Webcam Logitech C920,43,527.0,
P0115,488.1,Apple HomePod Mini,46,534.0,
P0057,497.5,Soporte Laptop Adjustable,39,536.0,
P0116,479.3,Foco Philips Hue,44,523.0,
P0060,488.0,Adaptador HDMI 4K,29,517.0,
P0061,504.1,Batería Portátil 20000,32,536.0,
P0059,494.4,Audífonos USB-C,43,537.0,
P0058,480.8,Mochila Techpack 30L,23,504.0,
P0065,488.7,iPad Pro M2 12.9,21,510.0,
P0066,492.6,Samsung Galaxy Tab S9,24,517.0,
P0068,479.5,Lenovo Tab P12,21,500.0,
P0067,500.0,iPad Air M1,39,539.0,
P0063,480.9,Pad Mouse XL Gaming,42,523.0,
P0064,487.9,Limpiador Pantallas Kit,44,532.0,
P0114,515.6,Google Nest Hub 2,45,561.0,
P0062,480.7,Reloj Smartwatch Band,38,519.0,
P0076,487.9,TCL Tab 10,24,512.0,
P0111,483.7,Monitor Portátil 4K,41,525.0,
P0077,499.4,Blackview Tab 16,21,520.0,
P0112,498.8,Estabilizador DJI OM6,33,532.0,
P0080,498.7,Honor Pad 8,19,518.0,
P0081,493.3,PlayStation 5,46,539.0,
P0079,487.9,Realme Pad 2,20,508.0,
P0078,500.1,Chuwi HiPad X,20,520.0,
P0072,489.4,Huawei MatePad Pro,43,532.0,
P0073,485.4,Microsoft Surface Go 3,22,507.0,
P0075,488.5,Samsung Galaxy Tab A9,35,524.0,
P0074,487.5,iPad Mini 6,31,518.0,
P0070,491.0,Amazon Fire HD 10,33,524.0,
P0071,489.0,ASUS Zenpad 3S,20,509.0,
P0113,511.5,Alexa Echo Dot 5,20,532.0,
P0069,510.2,Xiaomi Pad 6 Pro,37,547.0,
P0096,495.0,Cooling Noctua NH-D15,41,536.0,
P0107,484.5,Tarjeta SD SanDisk 256,27,512.0,
P0097,497.6,Canon EOS R6 Mark II,38,536.0,
P0108,491.4,Batería Canon LP-E6,32,523.0,
P0100,486.7,Fujifilm X-T5,42,529.0,
P0101,496.1,DJI Mavic 3 Pro,27,523.0,
P0099,488.1,Nikon Z6 III,21,509.0,
P0098,488.3,Sony Alpha 7 IV,34,522.0,
P0105,475.8,Tripié Joby GorillaPod,41,517.0,
P0001,459.7,iPhone 15 Pro,37,497.0,
P0128,506.2,Panel Solar Portátil,39,545.0,
P0127,518.2,Router WiFi 6 Mesh,44,562.0,
P0103,495.4,Lente Canon RF 50mm,31,526.0,
P0104,486.9,Flash Godox V1,40,527.0,
P0106,482.2,Mochila Lowepro Pro,40,522.0,
P0102,492.4,GoPro Hero 12,45,537.0,
P0089,494.4,Mouse Logitech G Pro X,45,539.0,
P0109,496.3,Filtro ND Variable,30,526.0,
P0091,490.0,Capturadora Elgato 4K,25,515.0,
P0090,485.1,Control Xbox Elite 2,40,525.0,
P0094,475.8,RAM Corsair 32GB,26,502.0,
P0095,488.4,SSD Samsung 980 Pro,28,516.0,
P0093,491.0,GPU RTX 4070 Ti,29,520.0,
P0092,475.6,Micrófono Blue Yeti,47,523.0,
P0085,486.7,Monitor LG 27GP950,43,530.0,
P0086,484.8,Silla Gamer DXRacer,26,511.0,
P0088,489.2,Teclado Razer Huntsman,44,533.0,
P0087,487.2,Headset HyperX Cloud III,38,525.0,
P0083,477.1,Nintendo Switch OLED,39,516.0,
P0084,477.9,Steam Deck 512GB,26,504.0,
P0110,487.0,Reflector 5en1 80cm,26,513.0,
P0082,488.4,Xbox Series X,30,518.0,
P0029,478.9,HP Pavilion 15,24,503.0,
P0121,489.1,Roomba j7 Plus,38,527.0,
P0031,502.8,Acer Aspire 7,38,541.0,
P0030,486.5,Lenovo IdeaPad 5,21,508.0,
